Points Scored,FG,FG%,3P,3P%,ORB,Assists,Steals,OffRank,OppDefRank,Pace
133.0,49.0,0.445,9.0,0.281,15.0,26.0,7.0,110.9,110.9,
124.0,51.0,0.51,13.0,0.5,8.0,28.0,8.0,118.9,118.9,
116.0,45.0,0.446,10.0,0.345,9.0,29.0,10.0,111.1,111.1,
120.0,39.0,0.464,10.0,0.278,7.0,24.0,4.0,103.7,103.7,
120.0,43.0,0.457,19.0,0.38,12.0,24.0,3.0,122.1,122.1,
111.0,45.0,0.446,13.0,0.448,12.0,21.0,9.0,113.4,113.4,
110.0,43.0,0.5,13.0,0.361,8.0,24.0,9.0,110.9,110.9,
95.0,41.0,0.488,17.0,0.515,5.0,26.0,5.0,111.2,111.2,
106.0,33.0,0.388,13.0,0.394,12.0,19.0,6.0,111.0,111.0,
130.0,49.0,0.551,21.0,0.512,9.0,29.0,4.0,122.9,122.9,
96.0,33.0,0.384,11.0,0.324,9.0,17.0,6.0,93.8,93.8,
100.0,40.0,0.44,14.0,0.318,10.0,20.0,5.0,103.7,103.7,
131.0,49.0,0.505,25.0,0.472,10.0,31.0,6.0,125.5,125.5,
96.0,35.0,0.427,11.0,0.314,16.0,17.0,3.0,109.0,109.0,
117.0,42.0,0.5,24.0,0.533,10.0,26.0,8.0,125.5,125.5,
116.0,38.0,0.413,5.0,0.179,8.0,21.0,6.0,89.2,89.2,
109.0,39.0,0.513,15.0,0.405,7.0,24.0,7.0,121.7,121.7,
118.0,43.0,0.453,6.0,0.231,10.0,17.0,8.0,106.5,106.5,
129.0,42.0,0.494,11.0,0.44,10.0,27.0,9.0,114.5,114.5,
127.0,42.0,0.452,14.0,0.359,4.0,30.0,6.0,103.9,103.9,
108.0,36.0,0.434,10.0,0.37,9.0,15.0,6.0,105.4,105.4,
116.0,42.0,0.462,12.0,0.343,4.0,22.0,4.0,107.9,107.9,
120.0,37.0,0.43,9.0,0.273,8.0,20.0,6.0,104.6,104.6,
117.0,32.0,0.427,20.0,0.426,10.0,28.0,3.0,124.7,124.7,
117.0,39.0,0.419,9.0,0.333,12.0,18.0,7.0,105.4,105.4,
112.0,44.0,0.484,13.0,0.481,12.0,19.0,7.0,117.4,117.4,
138.0,48.0,0.552,26.0,0.52,6.0,32.0,5.0,135.3,135.3,
103.0,38.0,0.413,13.0,0.31,16.0,22.0,2.0,104.6,104.6,
122.0,38.0,0.442,13.0,0.448,11.0,18.0,2.0,119.5,119.5,
129.0,42.0,0.457,12.0,0.364,6.0,19.0,8.0,109.7,109.7,
112.0,35.0,0.407,12.0,0.333,8.0,24.0,11.0,93.5,93.5,
134.0,47.0,0.5,8.0,0.348,12.0,19.0,6.0,121.8,121.8,
114.0,42.0,0.429,13.0,0.325,17.0,19.0,12.0,114.6,114.6,
112.0,41.0,0.477,12.0,0.353,6.0,13.0,7.0,115.8,115.8,
132.0,41.0,0.461,11.0,0.306,8.0,18.0,13.0,105.6,105.6,
114.0,34.0,0.4,8.0,0.242,12.0,17.0,5.0,96.5,96.5,
116.0,40.0,0.426,15.0,0.326,9.0,24.0,9.0,116.4,116.4,
124.0,45.0,0.529,17.0,0.378,10.0,29.0,2.0,130.4,130.4,
124.0,46.0,0.455,17.0,0.395,11.0,26.0,11.0,119.7,119.7,
123.0,44.0,0.44,21.0,0.477,12.0,22.0,7.0,111.7,111.7,
114.0,41.0,0.366,9.0,0.209,19.0,15.0,11.0,96.4,96.4,
119.0,41.0,0.441,15.0,0.341,18.0,24.0,6.0,117.0,117.0,
117.0,38.0,0.475,19.0,0.442,10.0,23.0,6.0,125.7,125.7,
122.0,44.0,0.458,18.0,0.375,11.0,19.0,10.0,112.1,112.1,
115.0,34.0,0.459,12.0,0.324,9.0,21.0,7.0,122.1,122.1,
120.0,45.0,0.489,17.0,0.436,10.0,25.0,9.0,124.6,124.6,
118.0,35.0,0.361,7.0,0.2,13.0,19.0,9.0,91.7,91.7,
117.0,44.0,0.454,12.0,0.4,12.0,27.0,3.0,118.4,118.4,
126.0,39.0,0.402,9.0,0.273,16.0,24.0,16.0,104.1,104.1,
114.0,29.0,0.349,7.0,0.206,6.0,17.0,5.0,80.6,80.6,
111.0,38.0,0.427,16.0,0.327,11.0,20.0,10.0,112.2,112.2,
113.0,43.0,0.483,7.0,0.25,7.0,26.0,5.0,113.4,113.4,
137.0,32.0,0.368,2.0,0.087,9.0,11.0,5.0,91.6,91.6,
103.0,37.0,0.42,12.0,0.273,14.0,20.0,3.0,114.5,114.5,
113.0,46.0,0.447,11.0,0.25,7.0,14.0,6.0,103.2,103.2,
122.0,38.0,0.396,13.0,0.271,9.0,18.0,3.0,105.9,105.9,
128.0,42.0,0.477,14.0,0.333,4.0,23.0,8.0,111.0,111.0,
121.0,47.0,0.522,9.0,0.474,8.0,29.0,7.0,124.1,124.1,
106.0,36.0,0.387,14.0,0.412,15.0,13.0,8.0,101.7,101.7,
119.0,41.0,0.39,13.0,0.333,14.0,23.0,13.0,105.7,105.7,
115.0,42.0,0.416,23.0,0.39,6.0,31.0,10.0,107.1,107.1,
111.0,43.0,0.573,15.0,0.455,2.0,29.0,5.0,118.3,118.3,
112.0,41.0,0.456,17.0,0.37,9.0,27.0,7.0,110.7,110.7,
96.0,40.0,0.435,9.0,0.237,11.0,15.0,13.0,102.3,102.3,
104.0,37.0,0.389,16.0,0.281,16.0,24.0,9.0,107.4,107.4,
154.0,55.0,0.64,24.0,0.585,8.0,36.0,4.0,153.5,153.5,
100.0,35.0,0.438,14.0,0.359,8.0,22.0,8.0,106.1,106.1,
106.0,42.0,0.447,12.0,0.364,11.0,26.0,12.0,107.3,107.3,
110.0,42.0,0.467,5.0,0.278,8.0,25.0,10.0,103.3,103.3,
126.0,37.0,0.402,7.0,0.304,9.0,22.0,7.0,95.9,95.9,
127.0,43.0,0.518,17.0,0.447,9.0,31.0,8.0,123.5,123.5,
124.0,43.0,0.439,18.0,0.353,9.0,25.0,11.0,113.2,113.2,
116.0,41.0,0.451,13.0,0.295,13.0,14.0,7.0,117.9,117.9,
98.0,40.0,0.44,13.0,0.406,9.0,17.0,7.0,118.0,118.0,
109.0,40.0,0.43,13.0,0.333,17.0,23.0,9.0,115.9,115.9,
100.0,43.0,0.457,19.0,0.38,12.0,24.0,3.0,122.1,122.1,
128.0,45.0,0.517,11.0,0.314,10.0,27.0,5.0,117.4,117.4,
115.0,43.0,0.467,16.0,0.348,7.0,27.0,9.0,115.1,115.1,
105.0,32.0,0.421,12.0,0.316,5.0,14.0,5.0,103.6,103.6,
123.0,40.0,0.435,20.0,0.465,8.0,23.0,11.0,117.8,117.8,
122.0,41.0,0.418,14.0,0.326,12.0,16.0,7.0,113.8,113.8,
108.0,40.0,0.44,16.0,0.39,11.0,27.0,5.0,110.6,110.6,
135.0,39.0,0.419,14.0,0.341,15.0,24.0,11.0,109.7,109.7,
125.0,44.0,0.44,17.0,0.415,9.0,26.0,10.0,119.1,119.1,
112.0,40.0,0.449,19.0,0.404,7.0,27.0,6.0,112.6,112.6,
132.0,44.0,0.489,23.0,0.479,12.0,28.0,9.0,136.6,136.6,
